id_ID,id_ell_light_uk,id_ell_moist_uk,id_ell_pH_uk,id_ell_N,id_li_form_B,id_ros,id_reprod_B,id_strategy,id_self_st,id_Breeding_sys,id_flw_muell,id_poll_vect_B,id_MycoFlor
Buglossoides arvensis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,SC,AF,B,se,NM
Bunias orientalis,7.0,5.0,7.0,5.0,H,h,sv,c,SC,AFXF,AB,se,FM
Bupleurum falcatum,6.0,3.0,8.0,3.0,H,h,s,csr,SC,XF,A,in,OM
Bupleurum longifolium,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,SC,XF,A,in,OM
Butomus umbellatus,6.0,10.0,7.0,7.0,A,g,vvs,cs,SC,AFXF,AB,in,NM
Buxus sempervirens,4.0,4.0,8.0,4.0,N,r,s,cs,not defined,not defined,A,wi,OM
Cakile maritima,9.0,6.0,7.0,7.0,T,r,s,s,SI,X,B,se,FM
Calamagrostis arundinacea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,SI,X,W,wi,OM
Calamagrostis canescens,6.0,9.0,5.0,5.0,H,h,sv,cs,SI,X,W,wi,FM
Calamagrostis epigejos,7.0,5.0,6.0,6.0,G,h,sv,c,SI,X,W,wi,FM
Calamagrostis stricta,8.0,9.0,4.0,2.0,H,h,sv,cs,SI,X,W,wi,OM
Calamagrostis varia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,W,wi,OM
Calamagrostis villosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,SI,X,W,wi,OM
Calamintha nepeta,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,c,SC,XF,H,in,OM
Calendula officinalis,8.0,5.0,7.0,7.0,H,h,s,cr,SI,X,B`,in,FM
Calla palustris,6.0,10.0,6.0,4.0,G,h,sv,cs,not defined,not defined,D,se,NM
Callistephus chinensis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,h,s,r,SC,AF,B`,ge,OM
Callitriche cophocarpa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,A,r,vvs,not defined,SC,AFXF,W,wi,NM
Callitriche hamulata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,A,r,sv,not defined,SC,AF,W,wi,FM
Callitriche palustris,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,A,r,sv,not defined,SC,AO,W,wi,NM
Callitriche stagnalis,6.0,10.0,4.0,4.0,A,r,sv,not defined,SC,AF,W,wi,NM
Calluna vulgaris,7.0,5.0,1.0,1.0,N,r,ssv,cs,I+,XF,BHb,wi,OM
Caltha palustris,6.0,9.0,5.0,4.0,H,h,sv,csr,SI,X,AB,in,FM
Calystegia sepium,7.0,6.0,7.0,7.0,G,r,sv,c,SC,AFXF,Fn,se,OM
Calystegia soldanella,9.0,4.0,7.0,4.0,H,r,sv,cs,SI,X,B,in,NM
Camelina microcarpa,7.0,4.0,8.0,4.0,T,h,s,sr,SC,AFXF,AB,se,FM
Campanula alpina,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SI,X,Hb,se,OM
Campanula cervicaria,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,I+,X,Hb,se,OM
Campanula glomerata,7.0,4.0,7.0,3.0,H,h,sv,csr,SI,X,Hb,se,OM
Campanula latifolia,4.0,5.0,7.0,6.0,H,h,sv,cs,SI,X,Hb,in,OM
Campanula patula,7.0,5.0,6.0,5.0,H,h,s,csr,SI,X,Hb,se,OM
Campanula persicifolia,5.0,4.0,7.0,3.0,H,h,sv,csr,C+,X,Hb,in,FM
Campanula rapunculoides,6.0,4.0,7.0,4.0,H,h,sv,csr,I+,X,Hb,in,OM
Campanula rotundifolia,7.0,4.0,4.0,2.0,H,h,s,csr,I+,X,Hb,in,OM
Campanula scheuchzeri,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,C+,X,Hb,in,OM
Campanula sibirica,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SI,X,Hb,in,OM
Campanula thyrsoides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SI,X,Hb,in,OM
Campanula trachelium,4.0,5.0,7.0,6.0,H,h,sv,cs,SI,X,Hb,in,FM
Cannabis sativa,7.0,6.0,6.0,7.0,T,r,s,cr,not defined,X,W,wi,OM
Capsella bursa-pastoris,7.0,5.0,6.0,6.0,H,h,s,r,SC,AO,AB,se,FM
Caragana arborescens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,s,c,C+,X,H,in,OM
Cardamine amara,5.0,9.0,6.0,4.0,H,r,sv,csr,I+,XF,AB,se,NM
Cardamine flexuosa,5.0,7.0,4.0,5.0,H,h,s,csr,SC,AO,AB,se,FM
Cardamine hirsuta,6.0,5.0,5.0,6.0,H,h,sv,csr,SC,AF,AB,se,FM
Cardamine impatiens,4.0,5.0,7.0,7.0,H,h,sv,csr,not defined,not defined,AB,in,NM
Cardamine pratensis,4.0,6.0,5.0,4.0,H,h,vvs,csr,SI,X,B,se,NM
Cardamine trifolia,3.0,6.0,7.0,7.0,G,r,sv,csr,not defined,not defined,AB,se,NM
Cardaminopsis arenosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SI,X,AB,in,OM
Cardaria draba,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,not defined,AB,se,NM
Carduus acanthoides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,cr,SC,AFXF,B`,se,OM
Carduus nutans,7.0,4.0,8.0,5.0,H,h,s,cr,SC,AFXF,B`,se,OM
Carex acuta,7.0,9.0,6.0,4.0,G,h,sv,cs,SI,X,W,wi,NM
Carex acutiformis,6.0,9.0,7.0,5.0,G,g,sv,cs,SC,XF,W,wi,NM
Carex alba,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,sv,csr,SC,XF,W,wi,NM
Carex aquatilis,8.0,10.0,4.0,3.0,G,h,sv,cs,SI,X,W,wi,NM
Carex arenaria,8.0,3.0,5.0,2.0,G,h,vvs,cs,SC,AFXF,W,wi,FM
Carex atherodes,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,cs,SC,AFXF,W,wi,FM
Carex atrata,7.0,5.0,4.0,2.0,H,g,sv,cs,SC,XF,W,wi,NM
Carex bigelowii,7.0,5.0,1.0,2.0,G,h,sv,csr,SC,XF,W,wi,NM
Carex brizoides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex brunnescens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,AFXF,W,wi,FM
Carex buxbaumii,7.0,8.0,7.0,2.0,G,h,sv,cs,SC,X,W,wi,FM
Carex canescens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,sv,csr,SC,XF,W,wi,NM
Carex capillaris,8.0,6.0,7.0,2.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex capitata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,AO,W,wi,NM
Carex caryophyllea,7.0,4.0,6.0,2.0,G,g,sv,csr,SC,XF,W,wi,NM
Carex cespitosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SI,X,W,wi,NM
Carex chordorrhiza,9.0,9.0,3.0,2.0,G,h,sv,s,SC,XF,W,wi,NM
Carex davalliana,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,X,W,wi,OM
Carex diandra,8.0,9.0,5.0,3.0,G,h,sv,csr,SC,XF,W,wi,NM
Carex digitata,3.0,5.0,6.0,4.0,H,g,ssv,csr,SC,AFXF,W,wi,NM
Carex dioica,8.0,9.0,5.0,2.0,G,g,sv,cs,SC,X,W,wi,NM
Carex distans,8.0,6.0,7.0,5.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex disticha,7.0,8.0,6.0,4.0,G,r,sv,csr,SC,XF,W,wi,FM
Carex divulsa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,sv,cs,SC,XF,W,wi,OM
Carex echinata,7.0,8.0,3.0,2.0,H,g,sv,csr,SC,XF,W,wi,NM
Carex elongata,4.0,8.0,6.0,6.0,H,g,sv,cs,SC,XF,W,wi,NM
Carex ericetorum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,sv,csr,SC,AF,W,wi,NM
Carex firma,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,sv,s,SC,AFXF,W,wi,NM
Carex flacca,7.0,5.0,6.0,2.0,G,h,vvs,csr,SC,AFXF,W,wi,FM
Carex flava,7.0,9.0,7.0,2.0,H,h,sv,csr,SC,AF,W,wi,FM
Carex fuliginosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex halleriana,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,csr,SC,AFXF,W,wi,NM
Carex heleonastes,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,s,SC,AFXF,W,wi,NM
Carex hirta,7.0,6.0,6.0,5.0,G,h,sv,c,SC,XF,W,wi,FM
Carex hostiana,8.0,9.0,6.0,2.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex humilis,7.0,2.0,8.0,2.0,H,g,ssv,csr,SC,AFXF,W,wi,NM
Carex lasiocarpa,8.0,10.0,4.0,2.0,A,h,sv,cs,SC,XF,W,wi,FM
Carex lepidocarpa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,AF,W,wi,NM
Carex limosa,8.0,10.0,2.0,1.0,H,h,sv,s,SC,XF,W,wi,NM
Carex loliacea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,not defined,SC,AFXF,W,wi,NM
Carex melanostachya,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,sv,cs,SC,AFXF,W,wi,NM
Carex montana,5.0,4.0,4.0,1.0,H,h,ssv,csr,SC,XF,W,wi,NM
Carex muricata,5.0,4.0,6.0,4.0,H,g,ssv,c,SC,XF,W,wi,FM
Carex nigra,7.0,8.0,3.0,2.0,G,h,sv,s,SI,X,W,wi,FM
Carex obtusata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex otrubae,6.0,8.0,7.0,6.0,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex ovalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,XF,W,wi,OM
Carex pallescens,6.0,6.0,4.0,3.0,H,h,sv,csr,SC,AFXF,W,wi,FM
Carex panicea,8.0,8.0,4.0,2.0,G,h,sv,csr,SC,AFXF,W,wi,FM
Carex paniculata,6.0,9.0,6.0,4.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex pendula,5.0,8.0,6.0,6.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex pilosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,AFXF,W,wi,NM
Carex pilulifera,5.0,5.0,3.0,2.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex praecox,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,csr,SC,XF,W,wi,NM
Carex pseudocyperus,7.0,9.0,6.0,5.0,A,h,sv,cs,SC,XF,W,wi,NM
Carex pulicaris,8.0,7.0,4.0,2.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex remota,3.0,8.0,6.0,6.0,H,h,sv,cs,SC,XF,W,wi,FM
Carex riparia,6.0,9.0,7.0,4.0,A,g,sv,cs,SC,XF,W,wi,NM
Carex rostrata,8.0,10.0,3.0,2.0,H,h,sv,cs,SC,XF,W,wi,NM
Carex rupestris,8.0,4.0,6.0,2.0,H,h,sv,csr,SC,AFXF,W,wi,NM
Carex sempervirens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,AFXF,W,wi,FM
Carex spicata,7.0,4.0,6.0,4.0,H,g,ssv,cs,SC,AFXF,W,wi,NM
Carex supina,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex sylvatica,2.0,5.0,6.0,5.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex tomentosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,sv,csr,SC,AFXF,W,wi,NM
Carex umbrosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,XF,W,wi,NM
Carex vaginata,7.0,6.0,4.0,2.0,G,h,sv,s,SC,XF,W,wi,NM
Carex vesicaria,7.0,10.0,5.0,4.0,A,h,sv,cs,SC,XF,W,wi,FM
Carex vulpina,7.0,8.0,6.0,5.0,H,h,sv,csr,SC,XF,W,wi,NM
Carex vulpinoidea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,cs,SC,AFXF,W,wi,OM
Carlina vulgaris,7.0,4.0,7.0,2.0,H,h,s,csr,not defined,not defined,B`,se,OM
Carpinus betulus,-4.0,5.0,5.0,5.0,M,r,ssv,c,not defined,not defined,W,wi,OM
Carthamus tinctorius,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,h,s,cr,SC,AF,B`,se,OM
Carum carvi,8.0,5.0,6.0,6.0,H,h,s,c,SC,XF,A,in,OM
Castanea sativa,-5.0,5.0,4.0,4.0,M,r,s,c,SC,X,W,wi,OM
Catabrosa aquatica,6.0,9.0,7.0,7.0,H,h,sv,cs,not defined,not defined,W,wi,NM
Catapodium rigidum,8.0,2.0,7.0,1.0,H,h,s,r,SC,AF,W,wi,OM
Celosia argentea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SC,AFXF,W,wi,NM
Centaurea cyanus,7.0,5.0,4.0,5.0,H,h,s,cr,not defined,not defined,B`,in,OM
Centaurea diffusa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,h,s,r,SC,XF,B`,in,OM
Centaurea jacea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,c,SI,X,B`,in,OM
Centaurea nigra,7.0,5.0,3.0,4.0,H,h,ssv,c,I+,X,B`,in,OM
Centaurea phrygia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,ssv,c,not defined,not defined,B`,in,FM
Centaurea pseudophrygia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,ssv,c,not defined,not defined,B`,in,OM
Centaurea scabiosa,7.0,3.0,8.0,3.0,H,h,ssv,c,SI,X,B`,in,OM
Centaurea solstitialis,8.0,3.0,7.0,6.0,H,h,s,cr,I+,X,B`,in,OM
Centaurea stoebe,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,csr,SC,XF,B`,in,OM
Centaurium erythraea,8.0,5.0,6.0,3.0,H,h,s,sr,SC,AF,B,se,OM
Centaurium littorale,8.0,7.0,8.0,3.0,H,h,s,s,SC,AFXF,B,se,OM
Centaurium pulchellum,8.0,7.0,8.0,3.0,T,r,s,sr,SC,AF,B,se,OM
Centranthus ruber,7.0,3.0,8.0,5.0,H,r,s,cs,SC,XF,F,in,NM
Cephalanthera damasonium,3.0,4.0,7.0,4.0,G,r,sv,csr,SC,AF,Hb,se,OM
Cephalanthera longifolia,5.0,4.0,6.0,4.0,G,r,sv,csr,SC,AFXF,Hb,in,OM
Cephalanthera rubra,4.0,3.0,8.0,4.0,G,r,sv,csr,SC,AFXF,Hb,se,OM
Cerastium alpinum,9.0,5.0,6.0,2.0,C,r,sv,csr,SC,AFXF,AB,se,NM
Cerastium arvense,8.0,4.0,5.0,3.0,C,r,sv,cr,SC,X,AB,se,FM
Cerastium cerastoides,8.0,8.0,5.0,4.0,C,r,sv,s,SC,AFXF,AB,se,NM
Cerastium fontanum,6.0,5.0,5.0,4.0,C,r,sv,csr,SC,AO,AB,se,FM
Cerastium glomeratum,7.0,5.0,5.0,5.0,H,h,s,r,SC,AO,AB,se,FM
Cerastium glutinosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,sr,SC,AO,AB,se,FM
Cerastium holosteoides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,r,sv,cr,SC,AFXF,AB,se,NM
Cerastium semidecandrum,8.0,3.0,6.0,3.0,H,h,s,r,SC,AO,AB,se,NM
Cerastium uniflorum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,r,sv,s,SC,XF,AB,se,FM
Ceratocephala testiculata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,g,s,r,SC,AO,AB,se,OM
Ceratophyllum demersum,6.0,12.0,7.0,7.0,A,r,vvs,not defined,SC,AFXF,Hy,wa,NM
Cerinthe glabra,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,not defined,not defined,H,se,OM
Ceterach officinarum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,s,s,not defined,not defined,not defined,not defined,NM
Chaenomeles speciosa,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,ssv,c,SI,X,AB,in,OM
Chaerophyllum aureum,6.0,5.0,7.0,8.0,H,h,sv,c,SC,XF,A,in,OM
Chaerophyllum bulbosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,h,s,c,SC,XF,A,in,OM
Chamaesyce prostrata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SC,XF,A,in,OM
Chamaesyce serpens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SC,XF,A,in,OM
Chelidonium majus,6.0,5.0,7.0,7.0,H,h,s,cr,SC,X,Po,se,NM
Chenopodium album,7.0,4.0,6.0,7.0,T,r,s,cr,SC,AFXF,Wb,wi,FM
Chenopodium ambrosioides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,C,r,s,cr,SC,AFXF,Wb,wi,FM
Chenopodium bonus-henricus,8.0,5.0,7.0,8.0,H,h,s,cr,SC,XF,Wb,wi,NM
Chenopodium botrys,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SC,XF,Wb,wi,OM
Chenopodium foliosum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SC,XF,Wb,wi,NM
Chenopodium glaucum,8.0,6.0,7.0,9.0,T,r,s,sr,SC,AFXF,Wb,wi,NM
Chenopodium hybridum,7.0,4.0,7.0,7.0,T,r,s,cr,SC,XF,Wb,wi,NM
Chenopodium murale,8.0,4.0,6.0,7.0,T,r,s,cr,SC,X,Wb,wi,NM
Chenopodium pratericola,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,XF,Wb,wi,NM
Chenopodium rubrum,7.0,6.0,7.0,8.0,T,r,s,cr,SC,AFXF,Wb,wi,NM
Chimaphila umbellata,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,S,r,sv,csr,SC,AFXF,B,se,OM
Chondrilla juncea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,ssv,cs,not defined,not defined,B`,not defined,OM
Chrysosplenium alternifolium,3.0,8.0,6.0,5.0,H,h,sv,csr,SC,AFXF,A,se,FM
Chrysosplenium oppositifolium,5.0,9.0,5.0,5.0,H,r,sv,csr,SC,AFXF,A,se,NM
Cicendia filiformis,9.0,8.0,3.0,2.0,T,r,s,sr,not defined,not defined,B,se,OM
Cicerbita alpina,5.0,6.0,6.0,6.0,H,h,sv,c,not defined,not defined,B`,in,FM
Cichorium endivia,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,not defined,C+,AFXF,B`,se,OM
Cichorium intybus,8.0,4.0,7.0,5.0,H,h,s,c,SC,X,B`,in,FM
Cicuta virosa,6.0,10.0,5.0,5.0,H,h,sv,cs,SC,AFXF,A,in,FM
Circaea alpina,4.0,7.0,5.0,5.0,G,r,sv,csr,not defined,not defined,Ds,se,OM
Circaea lutetiana,4.0,6.0,7.0,6.0,G,r,sv,cs,SC,AFXF,Ds,se,OM
Cirsium acaule,9.0,4.0,8.0,3.0,H,h,sv,csr,SC,AFXF,B`,se,OM
Cirsium arvense,8.0,5.0,6.0,6.0,G,r,sv,c,SC,X,B`,in,OM
Cirsium canum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,csr,SC,AFXF,B`,in,OM
Cirsium eriophorum,8.0,4.0,8.0,5.0,H,h,s,c,SC,AFXF,B`,in,OM
Cirsium helenioides,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,sv,c,SC,AFXF,B`,se,OM
Cirsium oleraceum,6.0,7.0,7.0,5.0,H,h,sv,c,SC,AFXF,B`,in,FM
Cirsium palustre,7.0,8.0,4.0,3.0,H,h,s,c,SC,AFXF,B`,in,FM
Cirsium tuberosum,7.0,6.0,8.0,3.0,H,h,sv,c,SC,AFXF,B`,in,OM
Cirsium vulgare,7.0,5.0,6.0,6.0,H,h,s,cr,SC,AFXF,B`,in,FM
Cladium mariscus,8.0,10.0,8.0,3.0,A,h,vvs,cs,SC,AFXF,W,wi,FM
Claytonia perfoliata,6.0,5.0,5.0,5.0,T,g,s,r,SC,AO,A,se,NM
Claytonia sibirica,5.0,7.0,6.0,6.0,T,g,s,r,I+,X,AB,in,OM
Clematis recta,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,r,sv,c,not defined,not defined,Po,se,OM
Clematis vitalba,6.0,4.0,7.0,5.0,N,r,s,c,not defined,AF,PoDe,se,OM
Clinopodium vulgare,6.0,4.0,7.0,3.0,H,r,sv,cs,SC,XF,H,in,FM
Cochlearia anglica,8.0,8.0,7.0,6.0,H,h,s,r,not defined,not defined,AB,se,FM
Cochlearia danica,9.0,6.0,7.0,5.0,T,h,s,sr,SC,AFXF,AB,se,OM
Cochlearia officinalis,8.0,6.0,7.0,5.0,H,h,s,sr,not defined,not defined,AB,se,FM
Coeloglossum viride,7.0,4.0,4.0,2.0,G,h,s,csr,SC,AFXF,B,in,OM
Coincya monensis,9.0,4.0,6.0,3.0,H,h,s,cr,not defined,not defined,AB,in,NM
Colchicum autumnale,6.0,6.0,6.0,4.0,G,g,sv,csr,SI,X,B,se,OM
Conium maculatum,8.0,5.0,7.0,8.0,H,h,s,cr,SC,XF,A,in,OM
Conopodium majus,6.0,5.0,5.0,5.0,G,h,s,c,SC,XF,A,in,OM
Consolida ajacis,8.0,4.0,7.0,6.0,T,h,s,r,SC,XF,Hh,se,OM
Consolida regalis,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,h,s,r,SC,X,Hh,in,OM
Convallaria majalis,4.0,4.0,5.0,4.0,G,r,sv,cs,SC,X,PoAB,wi,FM
Convolvulus arvensis,7.0,4.0,7.0,6.0,G,r,vvs,cr,I+,X,B,se,OM
Conyza bonariensis,8.0,4.0,7.0,6.0,T,h,s,cr,SC,AF,B`,se,NM
Conyza canadensis,7.0,4.0,6.0,5.0,H,h,s,cr,SC,AF,B`,se,OM
Corallorrhiza trifida,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,r,sv,csr,SC,AF,B,se,OM
Coriandrum sativum,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,cr,SC,AFXF,A,se,OM
Cornus alba,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,M,r,sv,c,SI,X,A,in,OM
Cornus mas,6.0,4.0,8.0,4.0,M,r,s,c,not defined,not defined,A,ge,OM
Cornus sanguinea,6.0,5.0,7.0,5.0,N,r,sv,c,not defined,not defined,A,ge,FM
Cornus sericea,6.0,6.0,7.0,5.0,N,r,sv,c,SI,X,A,in,OM
Cornus suecica,6.0,6.0,1.0,2.0,H,r,sv,cs,not defined,not defined,A,se,OM
Coronopus didymus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,g,s,r,SC,AO,AB,se,OM
Cortusa matthioli,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,sv,c,SI,X,AB,in,OM
Corydalis solida,3.0,5.0,7.0,7.0,G,r,s,csr,SI,X,H,in,FM
Corylus avellana,4.0,5.0,6.0,5.0,N,r,ssv,c,SI,X,W,wi,OM
Corynephorus canescens,8.0,1.0,3.0,1.0,H,h,s,cs,SC,AFXF,W,wi,FM
Cosmos bipinnatus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,T,r,s,r,SI,X,B`,in,NM
Cotinus coggygria,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,s,c,SC,X,A,in,OM
Cotoneaster integerrimus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,sv,c,SC,AF,B,se,OM
Cotoneaster tomentosus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,N,r,sv,c,SC,not defined,B,in,OM
Crassula aquatica,8.0,7.0,4.0,2.0,T,r,sv,sr,SC,AO,AB,se,NM
Crataegus laevigata,5.0,5.0,7.0,5.0,M,r,s,c,I+,XF,ABDe,se,OM
Crataegus monogyna,6.0,4.0,7.0,4.0,M,r,s,c,I+,XF,ABDe,se,OM
Crepis aurea,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,H,g,s,csr,not defined,not defined,B`,ge,OM
Crepis biennis,7.0,5.0,6.0,5.0,H,h,s,cr,not defined,not defined,B`,ge,OM
Crepis capillaris,7.0,4.0,6.0,4.0,H,h,s,csr,SI,X,B`,ge,OM
Crepis foetida,9.0,4.0,6.0,3.0,H,h,s,cr,SI,X,B`,se,OM
Crepis mollis,7.0,5.0,5.0,5.0,H,h,s,csr,not defined,not defined,B`,se,OM
Crepis paludosa,5.0,7.0,6.0,4.0,H,h,s,c,SI,X,B`,ge,FM
Crepis praemorsa,6.0,3.0,8.0,3.0,H,g,sv,csr,not defined,not defined,B`,se,OM
Crepis setosa,9.0,4.0,7.0,3.0,T,h,s,r,not defined,not defined,B`,se,OM
Crepis tectorum,8.0,4.0,6.0,5.0,H,h,s,csr,SC,AFXF,B`,se,FM
Crocus albiflorus,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,sv,csr,SC,AFXF,F,se,OM
Crocus vernus,7.0,5.0,5.0,4.0,G,g,sv,csr,I+,X,F,in,OM
Cruciata laevipes,6.0,5.0,6.0,5.0,C,r,sv,csr,not defined,not defined,A,se,FM
Cryptogramma crispa,7.0,5.0,2.0,2.0,H,g,s,cs,not defined,X,not defined,not defined,FM
Cyclamen purpurascens,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,G,g,s,csr,SI,X,Po,se,OM
Cydonia oblonga,6.232720909886265,5.555555555555555,5.862642169728784,4.336832895888014,M,r,sv,c,C+,X,AB,se,OM
Cymbalaria muralis,6.0,4.0,7.0,5.0,H,r,sv,csr,SC,AFXF,H,in,OM
Cynodon dactylon,8.0,3.0,6.0,5.0,G,h,vvs,cs,SC,AO,W,se,OM
Cynoglossum officinale,8.0,4.0,7.0,6.0,H,h,s,cs,SC,XF,B,se,OM
Cynosurus cristatus,7.0,5.0,6.0,4.0,H,h,s,csr,SI,X,W,wi,OM
